City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ascension,30.2169,-90.9001,69.01,96,100,0.0,US,1698671457
1,nyrob,60.733,56.7202,24.37,95,100,4.65,RU,1698671457
2,sitka,57.0531,-135.33,48.09,71,100,11.5,US,1698671457
3,mahina,-17.5065,-149.489,74.97,83,20,6.91,PF,1698671458
4,gilgit,35.9221,74.3087,62.29,36,0,2.86,PK,1698671458
5,blackmans bay,-43.0167,147.3167,48.33,84,100,6.46,AU,1698671458
6,qaqortoq,60.7167,-46.0333,42.66,60,100,24.65,GL,1698671458
7,waitangi,-43.9535,-176.5597,51.82,89,98,5.01,NZ,1698671459
8,hithadhoo,-0.6,73.0833,80.78,82,8,12.26,MV,1698671459
9,palamos,41.8484,3.1291,74.8,53,100,3.0,ES,1698671357
10,cururupu,-1.8283,-44.8683,90.07,49,28,8.23,BR,1698671329
11,howrah,22.5892,88.3103,80.6,69,0,4.61,IN,1698671459
12,san juan,-31.5375,-68.5364,59.25,32,41,18.61,AR,1698671219
13,walvis bay,-22.9575,14.5053,66.99,63,22,9.15,NA,1698671460
14,grytviken,-54.2811,-36.5092,41.05,98,100,11.72,GS,1698671460
15,port lincoln,-34.7333,135.8667,54.36,72,9,14.18,AU,1698671460
16,lebu,-37.6167,-73.65,50.7,50,89,4.7,CL,1698671445
17,hamilton,39.1834,-84.5333,45.77,94,100,11.5,US,1698671221
18,geraldton,-28.7667,114.6,64.81,72,0,20.71,AU,1698671460
19,iskateley,67.6803,53.1512,20.01,94,100,15.01,RU,1698671461
20,bafoulabe,13.8065,-10.8321,97.05,34,21,3.67,ML,1698671461
21,college,64.8569,-147.8028,28.35,86,75,0.0,US,1698671414
22,donggang,28.9365,114.2259,64.9,66,0,1.99,CN,1698671461
23,altamont,42.2068,-121.7372,31.78,64,0,1.01,US,1698671178
24,betong,5.7743,101.0723,74.75,97,100,0.69,TH,1698671462
25,bredasdorp,-34.5322,20.0403,65.93,49,0,25.26,ZA,1698671197
26,manlucahoc,9.7422,122.4986,76.82,93,75,6.04,PH,1698671462
27,adamstown,-25.066,-130.1015,72.41,80,100,8.59,PN,1698671463
28,ghanzi,-21.5667,21.7833,95.58,17,99,13.96,BW,1698671463
29,kodiak,57.79,-152.4072,45.91,100,100,12.66,US,1698671463
30,griffith,41.5284,-87.4237,34.52,68,0,11.5,US,1698671463
31,rongelap,11.1635,166.8941,82.94,81,100,22.24,MH,1698671464
32,mermoz boabab,14.7065,-17.4758,88.36,76,27,7.65,SN,1698671464
33,yeed,4.55,43.0333,86.63,47,74,8.81,SO,1698671464
34,port-aux-francais,-49.35,70.2167,36.45,64,71,32.14,TF,1698671465
35,utrik,11.2278,169.8474,82.6,83,100,21.68,MH,1698671465
36,thompson,55.7435,-97.8558,20.5,82,97,8.99,CA,1698671466
37,sur,22.5667,59.5289,82.67,59,64,7.52,OM,1698671435
38,solnechnyy,50.7214,136.6319,40.03,74,7,3.62,RU,1698671466
39,porto novo,6.4965,2.6036,88.21,63,89,6.82,BJ,1698671466
40,makarov,48.6333,142.8,41.2,89,46,7.74,RU,1698671467
41,cockburn town,21.4612,-71.1419,84.07,76,32,9.69,TC,1698671467
42,edinburgh of the seven seas,-37.0676,-12.3116,52.36,76,83,31.36,SH,1698671467
43,waingapu,-9.6567,120.2641,80.06,80,78,4.34,ID,1698671468
44,yellowknife,62.456,-114.3525,20.41,100,57,4.0,CA,1698671468
45,port elizabeth,-33.918,25.5701,65.32,59,10,8.01,ZA,1698671468
46,iqaluit,63.7506,-68.5145,11.7,78,100,8.01,CA,1698671469
47,yuzawa,39.1667,140.5,49.48,92,1,2.19,JP,1698671469
48,chonchi,-42.6128,-73.8092,43.12,89,71,3.31,CL,1698671469
49,sheregesh,52.9209,87.9869,35.96,99,100,2.89,RU,1698671470
50,praia da vitoria,38.7333,-27.0667,65.75,79,21,8.86,PT,1698671470
51,port blair,11.6667,92.75,82.69,76,84,6.78,IN,1698671470
52,prince george,53.9166,-122.753,24.62,84,53,3.0,CA,1698671268
53,kloten,47.4515,8.5849,57.83,85,20,5.75,CH,1698671472
54,fort st. john,56.2499,-120.8529,21.4,91,100,2.73,CA,1698671472
55,susuman,62.7833,148.1667,1.98,97,79,1.01,RU,1698671473
56,helena valley west central,46.6629,-112.0604,16.52,88,0,0.0,US,1698671473
57,islampur,26.2667,88.2,76.64,66,14,2.39,IN,1698671474
58,oyotun,-6.8519,-79.3036,76.37,66,68,3.89,PE,1698671474
59,badger,64.8,-147.5333,28.27,89,100,0.0,US,1698671474
60,zhalantun,48.0,122.7167,36.55,20,100,3.96,CN,1698671475
61,kolasin,42.8223,19.5165,64.33,37,27,4.83,ME,1698671475
62,kapuskasing,49.4169,-82.4331,23.09,90,18,4.07,CA,1698671475
63,albany,42.6001,-73.9662,49.8,93,100,1.01,US,1698671475
64,raduzhny,62.0961,77.475,12.63,94,46,4.97,RU,1698671278
65,namibe,-15.1961,12.1522,76.35,60,0,11.41,AO,1698671476
66,nar'yan-mar,67.6713,53.087,20.1,94,100,15.01,RU,1698671477
67,nova sintra,14.8667,-24.7167,74.17,63,100,1.54,CV,1698671478
68,west island,-12.1568,96.8225,80.58,83,100,19.57,CC,1698671478
69,markovo,57.3206,107.0881,19.69,62,99,1.72,RU,1698671478
70,fairmont,39.4851,-80.1426,62.29,95,100,8.46,US,1698671479
71,stanthorpe,-28.6667,151.95,64.42,55,0,2.64,AU,1698671479
72,masuguru,-11.3667,38.4167,95.31,28,64,7.96,TZ,1698671479
73,hammerfest,70.6634,23.6821,32.45,86,40,8.05,NO,1698671480
74,minas de marcona,-15.2119,-75.1103,61.66,75,49,13.33,PE,1698671480
75,kralendijk,12.15,-68.2667,87.78,74,40,8.05,BQ,1698671481
76,punta arenas,-53.15,-70.9167,37.11,47,20,9.04,CL,1698671481
77,puerto ayora,-0.7393,-90.3518,75.54,89,100,5.99,EC,1698671481
78,uwajima,33.2238,132.56,60.22,70,42,1.25,JP,1698671482
79,laibin,23.7,109.2667,72.37,71,100,3.49,CN,1698671482
80,st. john's,47.5649,-52.7093,42.28,61,100,18.99,CA,1698671478
81,lata,40.1629,-8.3327,65.07,80,53,9.93,PT,1698671483
82,laitila,60.8758,21.6977,32.72,81,95,5.86,FI,1698671484
83,gurupi,-11.7292,-49.0686,99.68,25,6,1.99,BR,1698671485
84,tazacorte,28.629,-17.9293,77.97,97,20,26.46,ES,1698671485
85,arraial do cabo,-22.9661,-42.0278,82.26,74,0,9.22,BR,1698671365
86,saint-flour,45.0833,3.0,42.89,96,100,11.07,FR,1698671485
87,ust-nera,64.5667,143.2,1.89,97,74,2.37,RU,1698671485
88,hasaki,35.7333,140.8333,55.8,57,45,9.91,JP,1698671486
89,whitehorse,60.7161,-135.0538,32.09,92,100,11.99,CA,1698671227
90,olonkinbyen,70.9221,-8.7187,33.22,67,100,9.95,SJ,1698671487
91,arno,60.1167,18.6333,38.79,96,100,11.3,SE,1698671487
92,sisimiut,66.9395,-53.6735,31.39,63,62,9.15,GL,1698671487
93,santa marta,11.2408,-74.199,84.25,70,20,4.61,CO,1698671487
94,vorgashor,67.5833,63.95,-1.25,98,100,4.94,RU,1698671487
95,korla,41.7597,86.1469,58.35,34,26,2.15,CN,1698671488
96,port mathurin,-19.6833,63.4167,77.34,77,8,13.58,MU,1698671488
97,ushuaia,-54.8,-68.3,37.06,65,75,20.0,AR,1698671488
98,dudinka,69.4058,86.1778,2.62,97,100,1.99,RU,1698671489
99,karratha,-20.7377,116.8463,82.72,54,100,11.83,AU,1698671489
100,willowmore,-33.2926,23.4895,64.0,28,0,24.34,ZA,1698671489
101,hawaiian paradise park,19.5933,-154.9731,72.9,97,40,0.0,US,1698671490
102,kargil,34.5667,76.1,42.1,25,0,4.47,IN,1698671490
103,holualoa,19.6228,-155.9522,72.86,79,0,7.0,US,1698671490
104,la'ie,21.6477,-157.9253,77.11,78,12,1.99,US,1698671491
105,lambarene,-0.7001,10.2406,88.25,65,89,2.06,GA,1698671491
106,fort bragg,35.139,-79.006,68.83,92,0,9.22,US,1698671491
107,puerto aysen,-45.4,-72.7,38.52,93,40,1.48,CL,1698671492
108,kaspiyskiy,45.3929,47.3707,63.21,50,5,6.38,RU,1698671492
109,vallegrande,-18.4897,-64.1069,74.82,47,6,5.77,BO,1698671492
110,hami,42.8,93.45,56.53,35,11,6.64,CN,1698671493
111,peterhead,57.5058,-1.7981,46.8,63,100,15.93,GB,1698671493
112,umm kaddadah,13.6017,26.6876,97.3,12,42,9.1,SD,1698671493
113,new norfolk,-42.7826,147.0587,49.5,90,100,3.4,AU,1698671494
114,naze,28.3667,129.4833,67.86,76,45,8.79,JP,1698671494
115,duong dong,10.2167,103.9667,77.0,94,40,1.14,VN,1698671494
116,pudasjarvi,65.3833,26.9167,19.18,96,46,0.89,FI,1698671495
117,margaret river,-33.95,115.0667,54.75,73,0,13.31,AU,1698671495
118,touros,-5.1989,-35.4608,85.5,53,10,18.12,BR,1698671485
119,papatowai,-46.5619,169.4708,46.15,96,3,6.02,NZ,1698671495
120,labrador city,52.9463,-66.9114,22.91,74,75,6.91,CA,1698671496
121,east london,-33.0153,27.9116,63.9,49,12,16.15,ZA,1698671496
122,tazovsky,67.4667,78.7,2.82,94,26,2.68,RU,1698671497
123,callao,-12.0667,-77.15,69.71,88,100,8.05,PE,1698671497
124,kroya,-7.6331,109.2461,78.42,87,11,5.53,ID,1698671497
125,talnakh,69.4865,88.3972,2.21,95,100,5.14,RU,1698671497
126,la gi,10.6667,107.7833,80.83,85,100,9.33,VN,1698671498
127,vadso,70.0744,29.7487,23.16,86,40,13.8,NO,1698671498
128,santa cruz,-17.8,-63.1667,83.66,78,75,24.16,BO,1698671337
129,fale old settlement,-9.3852,-171.2468,83.5,76,8,15.48,TK,1698671499
130,rakops,-21.0167,24.3333,95.25,23,69,11.99,BW,1698671499
131,daru,-9.0763,143.2092,77.11,85,100,15.28,PG,1698671499
132,pacific grove,36.6177,-121.9166,59.65,49,0,0.0,US,1698671500
133,ak'ordat,15.5486,37.8867,94.48,27,13,4.03,ER,1698671500
134,codajas,-3.8367,-62.0569,96.91,31,23,1.14,BR,1698671500
135,port alfred,-33.5906,26.891,65.17,61,2,10.0,ZA,1698671500
136,rawlins,41.7911,-107.2387,20.35,58,0,8.05,US,1698671500
137,qarazhal,48.0078,70.7903,53.55,65,100,14.23,KZ,1698671501
138,saipan,15.1355,145.701,83.1,83,0,10.36,MP,1698671501
139,greymouth,-42.4667,171.2,47.68,79,100,3.24,NZ,1698671501
140,ulan bator,47.9077,106.8832,26.73,86,75,4.47,MN,1698671486
141,shiyan,32.6475,110.7781,65.28,61,0,2.8,CN,1698671501
142,zemio,5.0314,25.1361,85.93,57,94,3.94,CF,1698671502
143,lashio,22.9333,97.75,68.36,90,34,1.03,MM,1698671296
144,port douglas,-16.4833,145.4667,74.25,71,52,12.44,AU,1698671502
145,howard springs,-12.497,131.047,85.91,77,99,7.38,AU,1698671502
146,bel ombre,-4.6167,55.4167,80.69,79,96,7.9,SC,1698671503
147,margate,51.3813,1.3862,57.69,87,100,1.99,GB,1698671503
148,ola,59.5833,151.2833,27.79,66,6,5.12,RU,1698671503
149,ilulissat,69.2167,-51.1,35.62,51,40,21.85,GL,1698671503
150,coalinga,36.1397,-120.3602,35.85,42,78,0.83,US,1698671459
151,karkira,36.9292,6.5856,73.8,68,100,15.68,DZ,1698671504
152,puerto natales,-51.7236,-72.4875,36.05,64,100,6.91,CL,1698671469
153,constantia,44.1833,28.65,75.88,56,0,12.64,RO,1698671504
154,anadyr,64.75,177.4833,34.3,86,75,26.84,RU,1698671504
155,bethel,41.3712,-73.414,51.67,89,100,5.75,US,1698671377
156,kolonia,50.9333,6.95,62.58,74,0,6.91,DE,1698671505
157,shimoda,34.6667,138.95,57.11,69,22,3.18,JP,1698671505
158,longyearbyen,78.2186,15.6401,26.44,74,20,12.66,SJ,1698671505
159,saint-philippe,-21.3585,55.7679,83.79,83,52,10.87,RE,1698671505
160,manokwari,-0.8667,134.0833,79.56,81,59,2.39,ID,1698671506
161,khandyga,62.6667,135.6,15.91,96,100,4.41,RU,1698671506
162,saint-joseph,-21.3667,55.6167,82.78,83,43,7.2,RE,1698671506
163,hobyo,5.3505,48.5268,79.63,73,100,11.63,SO,1698671506
164,santa rosa del sur,7.9644,-74.0544,72.18,91,100,2.53,CO,1698671507
165,monchegorsk,67.9397,32.8739,17.29,90,98,4.25,RU,1698671507
166,wailua homesteads,22.0669,-159.378,70.59,84,40,4.61,US,1698671507
167,keflavik,64.0049,-22.5624,41.43,75,40,16.11,IS,1698671507
168,bandon,51.7469,-8.7425,54.99,77,16,6.46,IE,1698671508
169,axim,4.8699,-2.2405,85.3,70,25,9.06,GH,1698671508
170,katsuura,35.1333,140.3,62.51,67,0,5.17,JP,1698671508
171,san agustin de valle fertil,-30.6335,-67.4682,64.42,36,41,7.43,AR,1698671508
172,udachny,66.4167,112.4,-1.91,98,99,5.84,RU,1698671509
173,erenhot,43.6475,111.9767,55.72,28,2,17.56,CN,1698671509
174,richards bay,-28.783,32.0377,65.8,62,100,14.41,ZA,1698671327
175,nola,40.922,14.5329,79.65,49,5,3.42,IT,1698671509
176,pisco,-13.7,-76.2167,68.05,83,32,10.36,PE,1698671509
177,palikir - national government center,6.9248,158.1611,81.34,78,100,5.75,FM,1698671369
178,petropavlovsk-kamchatsky,53.0452,158.6483,37.45,59,100,3.0,RU,1698671510
179,inyonga,-6.7167,32.0667,90.27,24,99,5.35,TZ,1698671510
180,vila velha,-20.3297,-40.2925,87.75,51,0,14.97,BR,1698671510
181,praia,14.9215,-23.5087,84.74,58,20,11.5,CV,1698671511
182,assab,13.0092,42.7394,84.97,64,6,23.6,ER,1698671511
183,choibalsan,48.0667,114.5,28.08,71,100,12.73,MN,1698671511
184,cill airne,52.05,-9.5167,57.25,77,20,4.61,IE,1698671511
185,raduzhnyy,62.0961,77.475,12.63,94,46,4.97,RU,1698671512
186,luwingu,-10.2621,29.9271,75.06,53,100,9.22,ZM,1698671512
187,tuy hoa,13.0833,109.3,77.36,92,100,8.95,VN,1698671512
188,kingston,17.997,-76.7936,78.21,78,100,2.19,JM,1698671429
189,hermanus,-34.4187,19.2345,68.25,44,0,24.05,ZA,1698671437
190,alice springs,-23.7,133.8833,78.35,10,52,5.75,AU,1698671513
191,tura,25.5198,90.2201,70.32,90,100,2.89,IN,1698671513
192,williams lake,52.1415,-122.1445,25.52,80,34,3.29,CA,1698671513
193,mpika,-11.8343,31.4529,87.15,24,98,9.13,ZM,1698671513
194,san andres,12.5847,-81.7006,84.22,84,20,0.0,CO,1698671514
195,bilibino,68.0546,166.4372,-5.42,76,5,3.22,RU,1698671514
196,barceloneta,18.4505,-66.5385,86.29,87,100,5.44,PR,1698671514
197,lukuledi,-10.5667,38.8,84.63,49,100,6.46,TZ,1698671514
198,kerikeri,-35.2268,173.9474,61.92,95,96,8.63,NZ,1698671442
199,bardai,11.65,7.2333,95.11,15,59,14.54,NG,1698671514
200,timaru,-44.4,171.25,51.08,95,100,3.0,NZ,1698671515
201,kupang,-10.1667,123.5833,82.98,78,40,5.75,ID,1698671515
202,lihue,21.9789,-159.3672,71.19,94,40,4.61,US,1698671515
203,cognac,45.5,-0.25,60.64,72,75,14.97,FR,1698671515
204,flying fish cove,-10.4217,105.6791,78.48,88,75,9.22,CX,1698671516
205,nyurba,63.2842,118.3319,10.51,96,99,3.87,RU,1698671516
206,invercargill,-46.4,168.35,46.02,91,25,1.99,NZ,1698671516
207,kantharalak,14.6406,104.6499,75.96,100,100,4.23,TH,1698671516
208,sarpol-e zahab,34.4611,45.8626,78.82,28,100,2.33,IR,1698671517
209,georgetown,5.4112,100.3354,84.13,79,20,3.44,MY,1698671298
210,ko samui,9.5357,99.9357,83.71,76,100,12.68,TH,1698671517
211,vallo della lucania,40.2297,15.2658,78.55,37,20,5.21,IT,1698671517
212,okhotsk,59.3833,143.3,20.16,85,62,4.92,RU,1698671517
213,tyukhtet,56.5389,89.3011,20.88,84,79,8.39,RU,1698671517
214,avarua,-21.2078,-159.775,73.45,73,75,8.05,CK,1698671518
215,luckau,51.85,13.7167,64.08,62,91,6.46,DE,1698671518
216,akureyri,65.6835,-18.0878,32.11,78,25,4.23,IS,1698671518
217,nadym,65.5333,72.5167,9.36,93,7,3.98,RU,1698671518
218,i-n-salah,27.1935,2.4607,99.34,9,10,6.35,DZ,1698671518
219,khash,28.2211,61.2158,76.84,23,82,6.38,IR,1698671518
220,isafjordur,66.0755,-23.124,33.84,86,75,3.44,IS,1698671519
221,louiseville,46.2559,-72.9415,32.52,98,100,10.96,CA,1698671519
222,weno,7.4515,151.8468,83.1,78,95,12.12,FM,1698671519
223,tolanaro,-25.0319,46.9987,79.41,66,9,6.51,MG,1698671519
224,hefei,31.8639,117.2808,71.78,40,0,6.38,CN,1698671362
225,melenci,45.5139,20.3172,75.76,30,100,13.58,RS,1698671520
226,lompoc,34.6391,-120.4579,51.58,58,0,8.05,US,1698671520
227,coruripe,-10.1256,-36.1756,82.72,51,92,11.01,BR,1698671520
228,prince rupert,54.3161,-130.3201,36.34,76,8,3.49,CA,1698671445
229,tiksi,71.6872,128.8694,-2.38,100,100,5.46,RU,1698671520
230,jamestown,42.097,-79.2353,43.02,99,100,9.22,US,1698671345
231,tangalle,6.024,80.7911,78.96,82,100,5.41,LK,1698671520
232,pahrump,36.2083,-115.9839,42.85,27,0,2.35,US,1698671520
233,punch,33.7679,74.0897,66.04,48,0,1.72,IN,1698671521
234,ribeira grande,38.5167,-28.7,66.6,68,40,9.22,PT,1698671521
235,lilongwe,-13.9669,33.7873,88.7,28,69,16.73,MW,1698671521
236,tommot,58.9564,126.2925,1.74,99,80,2.21,RU,1698671521
237,huarmey,-10.0681,-78.1522,68.92,83,95,8.16,PE,1698671521
238,magadi,12.9667,77.2333,73.56,86,100,6.58,IN,1698671522
239,bay harbor,30.1471,-85.6146,66.97,97,20,4.61,US,1698671522
240,igarka,67.4667,86.5833,2.05,97,90,3.15,RU,1698671522
241,mujiayingzi,42.1167,118.7833,47.8,36,76,6.64,CN,1698671523
242,hanceville,34.0607,-86.7675,67.55,83,100,9.44,US,1698671523
243,homer,59.6425,-151.5483,42.69,81,100,3.44,US,1698671480
244,port augusta,-32.5,137.7667,58.28,61,56,17.9,AU,1698671524
245,revelstoke,50.9832,-118.2023,33.33,55,75,1.61,CA,1698671524
246,huaicheng,23.9051,112.1931,69.26,79,100,2.26,CN,1698671524
247,taupo,-38.6833,176.0833,54.81,86,68,9.15,NZ,1698671300
248,carnarvon,-24.8667,113.6333,68.18,76,0,24.83,AU,1698671526
249,betio village,1.358,172.9211,84.24,78,60,7.14,KI,1698671526
250,puerto montt,-41.4698,-72.9447,43.48,93,98,8.86,CL,1698671526
251,sitangkai,4.6628,119.3928,84.15,67,98,2.37,PH,1698671526
252,prince albert,53.2001,-105.7677,21.15,73,40,17.27,CA,1698671255
253,sao vicente,-23.9631,-46.3919,88.27,49,37,5.99,BR,1698671527
254,hadibu,12.65,54.0333,80.82,77,85,10.76,YE,1698671527
255,san matias,-16.3667,-58.4,96.85,34,64,9.6,BO,1698671481
256,pariaman,-0.619,100.12,78.85,89,63,3.2,ID,1698671528
257,champoton,19.35,-90.7167,73.53,86,10,5.37,MX,1698671528
258,tolmin,46.183,13.7332,65.77,92,100,5.99,SI,1698671528
259,nelson bay,-32.7167,152.15,69.01,72,28,5.01,AU,1698671529
260,colares,38.7992,-9.4469,67.19,63,20,13.0,PT,1698671529
261,ulladulla,-35.35,150.4667,67.77,48,99,6.64,AU,1698671529
262,wang sai phun,16.3885,100.538,80.82,92,100,4.29,TH,1698671530
263,floro,61.5996,5.0328,44.56,31,20,6.91,NO,1698671530
264,klyuchi,52.2667,79.1667,46.22,94,100,10.96,RU,1698671530
265,salinas,36.6777,-121.6555,60.06,37,0,9.22,US,1698671531
266,lobujya,27.95,86.8167,18.09,94,96,0.47,NP,1698671531
267,pekanbaru,0.5333,101.45,76.62,93,100,3.18,ID,1698671531
268,holyhead,53.3062,-4.6321,59.0,77,75,16.11,GB,1698671531
269,umm ruwaba,12.9061,31.2158,97.12,26,5,9.31,SD,1698671532
270,orchard homes,46.8633,-114.0484,17.74,90,100,3.44,US,1698671532
271,natal,-5.795,-35.2094,86.65,51,75,6.91,BR,1698671532
272,pemba,-12.974,40.5178,81.73,73,56,12.73,MZ,1698671271
273,moree,-29.4667,149.85,73.92,26,0,10.54,AU,1698671533
274,castanos,26.7833,-101.4167,41.74,91,100,12.28,MX,1698671409
275,romanovskaya,47.5426,42.0285,57.0,55,26,1.99,RU,1698671533
276,colonia,50.9333,6.95,62.58,74,0,6.91,DE,1698671533
277,malvan,16.0667,73.4667,82.63,74,42,4.38,IN,1698671534
278,atafu village,-8.5421,-172.5159,83.57,76,19,16.82,TK,1698671534
279,stanley,54.868,-1.6985,49.77,88,75,8.05,GB,1698671534
280,jamtara,23.95,86.8,75.9,55,70,6.04,IN,1698671535
281,srikakulam,18.3,83.9,76.86,69,35,8.43,IN,1698671535
282,mossel bay,-34.1831,22.146,62.55,66,0,29.48,ZA,1698671535
